,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,118.0,170.160004,170.3012787,0.0,20078.880471999997,0.0,Buy
1,2018-01-03,118.0,172.529999,170.8940918,1.0,20358.539882,279.65941000000385,Sell
2,2018-01-04,118.0,172.539993,171.7012787,3.0,20359.719174,280.83870200000456,Pass
3,2018-01-05,118.0,173.440002,171.6940918,3.0,20465.920235999998,387.039764000001,Pass
4,2018-01-08,118.0,174.350006,174.1438446,3.0,20573.300708000002,494.4202360000054,Pass
5,2018-01-09,118.0,174.550003,174.3486481,3.0,20596.900354,518.0198820000041,Pass
6,2018-01-10,118.0,173.160004,175.8481903,0.0,20432.880471999997,354.0,Buy
7,2018-01-11,118.0,174.589996,174.4498596,1.0,20601.619528000003,522.7390560000058,Sell
8,2018-01-12,116.0,176.179993,177.0071259,0.0,20436.879188,357.9987160000019,Buy
9,2018-01-16,116.0,177.899994,178.8733521,2.0,20636.399304,557.5188320000016,Hold
10,2018-01-17,116.0,176.149994,177.8721771,2.0,20433.399304,354.51883200000157,Hold
11,2018-01-18,116.0,179.369995,179.250885,1.0,20806.91942,728.0389480000013,Sell
12,2018-01-19,116.0,178.610001,179.8763733,0.0,20718.760116,639.8796440000042,Buy
13,2018-01-22,116.0,177.300003,179.1281586,2.0,20566.800348,487.91987600000357,Hold
14,2018-01-23,116.0,177.300003,177.8087311,2.0,20566.800348,487.91987600000357,Hold
15,2018-01-24,116.0,177.25,177.4267273,2.0,20561.0,482.1195280000029,Hold
16,2018-01-25,116.0,174.509995,175.3688355,2.0,20243.15942,164.27894800000286,Hold
17,2018-01-26,116.0,172.0,172.6837616,2.0,19952.0,-126.8804719999971,Hold
18,2018-01-29,116.0,170.160004,171.6931915,2.0,19738.560464,-340.3200079999988,Hold
19,2018-01-30,116.0,165.529999,169.2169647,2.0,19201.479884,-877.4005879999968,Hold
20,2018-01-31,116.0,166.869995,168.7508698,2.0,19356.91942,-721.9610519999987,Hold
21,2018-02-01,116.0,167.169998,169.0885925,2.0,19391.719768,-687.1607039999981,Hold
22,2018-02-02,116.0,166.0,169.3612518,2.0,19256.0,-822.8804719999971,Hold
23,2018-02-05,116.0,159.100006,163.8661499,2.0,18455.600696,-1623.2797759999958,Hold
24,2018-02-06,116.0,154.830002,157.2791748,2.0,17960.280232,-2118.600239999996,Hold
25,2018-02-07,116.0,163.089996,164.2733154,2.0,18918.439536,-1160.4409359999954,Hold
26,2018-02-08,116.0,160.289993,162.2299805,2.0,18593.639188,-1485.241283999996,Hold
27,2018-02-09,116.0,157.070007,157.8921814,2.0,18220.120812,-1858.759659999996,Hold
28,2018-02-12,116.0,158.5,160.2670593,2.0,18386.0,-1692.880471999997,Hold
29,2018-02-13,116.0,161.949997,166.0662842,2.0,18786.199652,-1292.6808199999978,Hold
30,2018-02-14,116.0,163.039993,166.7388611,2.0,18912.639188,-1166.241283999996,Hold
31,2018-02-15,116.0,169.789993,167.1964264,1.0,19695.639188,-383.2412839999961,Sell
32,2018-02-16,114.0,172.360001,173.5046997,0.0,19649.040114000003,-429.840357999994,Buy
33,2018-02-20,114.0,172.050003,172.3567658,2.0,19613.700342,-465.180129999997,Hold
34,2018-02-21,114.0,172.830002,173.5978546,2.0,19702.620228,-376.26024399999733,Hold
35,2018-02-22,114.0,171.800003,173.8247833,2.0,19585.200342,-493.680129999997,Hold
36,2018-02-23,114.0,173.669998,172.0168915,1.0,19798.379772,-280.50069999999687,Sell
37,2018-02-26,114.0,176.350006,175.2367554,3.0,20103.900684,25.020212000003085,Pass
38,2018-02-27,112.0,179.100006,179.933548,0.0,20059.200672,-19.679799999998068,Buy
39,2018-02-28,112.0,179.259995,179.2288055,1.0,20077.119440000002,-1.7610319999948842,Sell
40,2018-03-01,112.0,178.539993,178.6076965,0.0,19996.479216,-82.40125599999737,Buy
41,2018-03-02,112.0,172.800003,176.4474182,2.0,19353.600336,-725.2801359999976,Hold
42,2018-03-05,112.0,175.210007,178.5508423,2.0,19623.520784,-455.3596879999968,Hold
43,2018-03-06,112.0,177.910004,177.9866333,2.0,19925.920447999997,-152.96002399999998,Hold
44,2018-03-07,112.0,174.940002,178.8801117,2.0,19593.280224,-485.6002479999988,Hold
45,2018-03-08,112.0,175.479996,178.6575165,2.0,19653.759552,-425.12091999999757,Hold
46,2018-03-09,112.0,177.960007,176.071228,1.0,19931.520784,-147.35968799999682,Sell
47,2018-03-12,112.0,180.289993,178.9537659,3.0,20192.479216,113.59874400000263,Pass
48,2018-03-13,112.0,182.589996,181.7426758,3.0,20450.079552000003,371.1990800000058,Pass
49,2018-03-14,112.0,180.320007,179.5418091,3.0,20195.840784,116.96031200000289,Pass
50,2018-03-15,113.0,178.5,180.0516663,0.0,20170.5,91.6195280000029,Buy
51,2018-03-16,113.0,178.649994,177.0202942,1.0,20187.449322,108.5688500000033,Sell
52,2018-03-19,113.0,177.320007,177.6328125,0.0,20037.160791000002,-41.719680999995035,Buy
53,2018-03-20,113.0,175.240005,177.1238098,2.0,19802.120565,-276.759906999996,Hold
54,2018-03-21,113.0,175.039993,176.4626312,2.0,19779.519209000002,-299.36126299999523,Hold
55,2018-03-22,113.0,170.0,174.0344849,2.0,19210.0,-868.8804719999971,Hold
56,2018-03-23,113.0,168.389999,171.1483612,2.0,19028.069886999998,-1050.8105849999993,Hold
57,2018-03-26,113.0,168.070007,167.840744,1.0,18991.910791000002,-1086.969680999995,Sell
58,2018-03-27,109.0,173.679993,174.2007294,0.0,18931.119237,-1147.7612349999981,Buy
59,2018-03-28,109.0,167.25,170.0110626,2.0,18230.25,-1848.630471999997,Hold
60,2018-03-29,109.0,167.809998,170.7117615,2.0,18291.289782,-1787.5906899999973,Hold
61,2018-04-02,109.0,166.639999,170.9841919,2.0,18163.759890999998,-1915.1205809999992,Hold
62,2018-04-03,109.0,167.639999,169.3476868,2.0,18272.759890999998,-1806.1205809999992,Hold
63,2018-04-04,109.0,164.880005,170.6967621,2.0,17971.920545,-2106.9599269999962,Hold
64,2018-04-05,109.0,172.580002,172.3958588,1.0,18811.220218000002,-1267.660253999995,Sell
