,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,113.0,177.679993,179.2084783,0.0,20077.839208999998,0.0,Buy
1,2018-01-03,113.0,181.880005,180.2837182,1.0,20552.440565,474.60135600000285,Sell
2,2018-01-04,113.0,184.899994,180.9515228,3.0,20893.699322,815.8601130000025,Pass
3,2018-01-05,113.0,185.589996,181.8705902,3.0,20971.669548,893.8303390000037,Pass
4,2018-01-08,113.0,187.199997,184.2398224,3.0,21153.599661,1075.7604520000023,Pass
5,2018-01-09,113.0,188.699997,185.914566,3.0,21323.099661,1245.2604520000023,Pass
6,2018-01-10,114.0,186.940002,188.565918,0.0,21311.160228,1233.3210190000027,Buy
7,2018-01-11,114.0,188.399994,186.2044525,1.0,21477.599316,1399.7601070000019,Sell
8,2018-01-12,120.0,178.059998,187.7247162,0.0,21367.19976,1289.3605510000016,Buy
9,2018-01-16,120.0,181.5,179.3264618,1.0,21780.0,1702.160791000002,Sell
10,2018-01-17,121.0,179.259995,179.3803101,0.0,21690.459395,1612.6201860000037,Buy
11,2018-01-18,121.0,178.130005,177.9707184,1.0,21553.730605,1475.8913960000027,Sell
12,2018-01-19,121.0,180.850006,179.9228058,3.0,21882.850726,1805.0115170000026,Pass
13,2018-01-22,121.0,180.800003,183.0374756,0.0,21876.800363000002,1798.9611540000042,Buy
14,2018-01-23,121.0,186.050003,182.9840241,1.0,22512.050363000002,2434.211154000004,Sell
15,2018-01-24,121.0,189.889999,186.7737427,3.0,22976.689878999998,2898.85067,Pass
16,2018-01-25,121.0,187.949997,187.5777741,3.0,22741.949636999998,2664.110428,Pass
17,2018-01-26,121.0,187.75,186.5805969,3.0,22717.75,2639.910791000002,Pass
18,2018-01-29,121.0,188.75,186.253479,3.0,22838.75,2760.910791000002,Pass
19,2018-01-30,121.0,187.619995,184.89357,3.0,22702.019395,2624.1801860000014,Pass
20,2018-01-31,121.0,188.369995,182.7964783,3.0,22792.769395,2714.9301860000014,Pass
21,2018-02-01,121.0,188.220001,186.3197174,3.0,22774.620121,2696.780912000002,Pass
22,2018-02-02,121.0,192.039993,187.1081848,3.0,23236.839153,3158.999944000003,Pass
23,2018-02-05,124.0,186.929993,190.8404083,0.0,23179.319132,3101.4799230000026,Buy
24,2018-02-06,124.0,178.570007,180.1008148,2.0,22142.680868,2064.8416590000015,Hold
25,2018-02-07,124.0,184.149994,178.2288666,1.0,22834.599255999998,2756.7600469999998,Sell
26,2018-02-08,124.0,181.009995,180.8986054,3.0,22445.23938,2367.400171000001,Pass
27,2018-02-09,124.0,174.759995,172.9621735,3.0,21670.23938,1592.4001710000011,Pass
