,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,232.0,86.129997,85.55045319,0.0,19982.1593,0.0,Buy
1,2018-01-03,232.0,86.059998,85.28967285,1.0,19965.919535999998,-16.239764000001742,Sell
2,2018-01-04,232.0,86.589996,86.55045319,3.0,20088.879072,106.71977200000038,Pass
3,2018-01-05,232.0,87.660004,87.28967285,3.0,20337.120928,354.9616280000009,Pass
4,2018-01-08,232.0,88.199997,87.40267181,3.0,20462.399304,480.2400039999993,Pass
5,2018-01-09,230.0,88.650002,89.18083191,0.0,20389.50046,407.34115999999995,Buy
6,2018-01-10,230.0,87.860001,88.05987549,2.0,20207.80023,225.6409300000014,Hold
7,2018-01-11,230.0,88.129997,87.10028076,1.0,20269.89931,287.74001000000135,Sell
8,2018-01-12,230.0,88.669998,88.66283417,3.0,20394.099540000003,411.94024000000354,Pass
9,2018-01-16,230.0,90.099998,88.01190186,3.0,20722.99954,740.8402400000014,Pass
10,2018-01-17,232.0,89.080002,89.82338715,0.0,20666.560464,684.401163999999,Buy
11,2018-01-18,232.0,89.800003,90.0094986,2.0,20833.600696,851.441396000002,Hold
12,2018-01-19,232.0,90.139999,90.05509186,1.0,20912.479768,930.3204680000017,Sell
13,2018-01-22,232.0,90.0,90.02275848,0.0,20880.0,897.8407000000007,Buy
14,2018-01-23,232.0,91.900002,91.62732697,1.0,21320.800464,1338.6411640000006,Sell
15,2018-01-24,232.0,92.550003,91.23331451,3.0,21471.600696,1489.441396000002,Pass
16,2018-01-25,232.0,92.470001,90.95179749,3.0,21453.040232,1470.880932,Pass
17,2018-01-26,232.0,93.120003,91.24654388,3.0,21603.840696,1621.681396,Pass
18,2018-01-29,232.0,95.139999,92.84174347,3.0,22072.479768,2090.3204680000017,Pass
19,2018-01-30,232.0,93.300003,91.55170441,3.0,21645.600696,1663.441396000002,Pass
20,2018-01-31,232.0,93.75,91.41640472,3.0,21750.0,1767.8407000000007,Pass
21,2018-02-01,232.0,94.790001,92.70058441,3.0,21991.280232,2009.1209320000016,Pass
22,2018-02-02,232.0,93.639999,91.61650085,3.0,21724.479768,1742.3204680000017,Pass
23,2018-02-05,232.0,90.559998,89.99741364,3.0,21009.919535999998,1027.7602359999983,Pass
24,2018-02-06,241.0,86.889999,87.9238739,0.0,20940.489759,958.3304590000007,Buy
25,2018-02-07,241.0,90.489998,90.8758316,2.0,21808.089518,1825.9302180000013,Hold
26,2018-02-08,241.0,89.709999,90.16995239,2.0,21620.109759,1637.9504589999997,Hold
27,2018-02-09,241.0,86.300003,86.36318207,2.0,20798.300723,816.1414230000009,Hold
28,2018-02-12,241.0,88.739998,89.38343811,2.0,21386.339518,1404.1802180000013,Hold
29,2018-02-13,241.0,88.93,89.60083771,2.0,21432.13,1449.9707000000017,Hold
30,2018-02-14,241.0,88.510002,91.7616272,2.0,21330.910482,1348.751182,Hold
31,2018-02-15,241.0,91.209999,91.1701889,1.0,21981.609759,1999.4504589999997,Sell
32,2018-02-16,237.0,92.449997,92.53344727,0.0,21910.649289,1928.4899890000015,Buy
33,2018-02-20,237.0,91.480003,91.32624817,1.0,21680.760711,1698.6014109999996,Sell
34,2018-02-21,233.0,92.980003,93.01878357,0.0,21664.340699,1682.181399000001,Buy
35,2018-02-22,233.0,92.050003,91.10301208,1.0,21447.650699,1465.4913990000023,Sell
36,2018-02-23,233.0,93.599998,91.03821564,3.0,21808.799534,1826.6402340000022,Pass
37,2018-02-26,233.0,94.400002,93.337883,3.0,21995.200466,2013.041165999999,Pass
38,2018-02-27,233.0,95.739998,94.44685364,3.0,22307.419534,2325.260234000001,Pass
39,2018-02-28,233.0,94.839996,92.66587067,3.0,22097.719068,2115.559767999999,Pass
40,2018-03-01,233.0,93.989998,93.1783371,3.0,21899.669534,1917.5102340000012,Pass
41,2018-03-02,239.0,91.580002,92.18840027,0.0,21887.620477999997,1905.4611779999977,Buy
42,2018-03-05,239.0,92.339996,93.4576416,2.0,22069.259044,2087.099743999999,Hold
43,2018-03-06,239.0,94.339996,91.78857422,1.0,22547.259044,2565.099743999999,Sell
44,2018-03-07,242.0,93.160004,93.81731415,0.0,22544.720968,2562.561668000002,Buy
45,2018-03-08,242.0,94.269997,94.24672699,1.0,22813.339274,2831.1799740000024,Sell
46,2018-03-09,239.0,95.290001,96.94463348,0.0,22774.310239000002,2792.150939000003,Buy
47,2018-03-12,239.0,96.5,91.97371674,1.0,23063.5,3081.3407000000007,Sell
48,2018-03-13,239.0,97.0,94.36459351,3.0,23183.0,3200.8407000000007,Pass
49,2018-03-14,239.0,95.120003,92.94969177,3.0,22733.680717,2751.521417,Pass
50,2018-03-15,243.0,93.529999,93.75962067,0.0,22727.789757000002,2745.630457000003,Buy
51,2018-03-16,243.0,94.68,92.25102234,1.0,23007.24,3025.0807000000023,Sell
52,2018-03-19,243.0,93.739998,90.90225983,3.0,22778.819514,2796.6602139999995,Pass
53,2018-03-20,243.0,93.050003,90.91474915,3.0,22611.150729,2628.9914290000015,Pass
54,2018-03-21,243.0,92.93,92.37841797,3.0,22581.99,2599.8307000000023,Pass
55,2018-03-22,247.0,91.269997,91.67294312,0.0,22543.689259000002,2561.529959000003,Buy
56,2018-03-23,247.0,89.5,89.65422821,2.0,22106.5,2124.3407000000007,Hold
57,2018-03-26,247.0,90.610001,88.29719543,1.0,22380.670247,2398.510946999999,Sell
58,2018-03-27,247.0,94.940002,92.70101929,3.0,23450.180494,3468.021194000001,Pass
59,2018-03-28,261.0,89.82,90.00482941,0.0,23443.019999999997,3460.8606999999975,Buy
60,2018-03-29,261.0,90.18,90.0994339,1.0,23536.980000000003,3554.820700000004,Sell
61,2018-04-02,260.0,90.470001,90.79712677,0.0,23522.200259999998,3540.0409599999984,Buy
62,2018-04-03,260.0,89.580002,89.16262817,1.0,23290.800519999997,3308.6412199999977,Sell
63,2018-04-04,265.0,87.849998,89.75478363,0.0,23280.24947,3298.0901699999995,Buy
64,2018-04-05,265.0,92.440002,91.12735748,1.0,24496.600530000003,4514.441230000004,Sell
65,2018-04-06,267.0,91.489998,92.09954071,0.0,24427.829466,4445.670166,Buy
66,2018-04-09,267.0,91.040001,90.97588348,1.0,24307.680267,4325.520967,Sell
67,2018-04-10,267.0,92.389999,89.98576355,3.0,24668.129733,4685.970433000002,Pass
68,2018-04-11,268.0,92.010002,93.21385193,0.0,24658.680536,4676.5212360000005,Buy
69,2018-04-12,268.0,92.43,90.24948883,1.0,24771.24,4789.080700000002,Sell
70,2018-04-13,268.0,94.050003,92.97551727,3.0,25205.400804,5223.241504000001,Pass
71,2018-04-16,268.0,94.07,92.58546448,3.0,25210.76,5228.600699999999,Pass
72,2018-04-17,268.0,95.0,92.48409271,3.0,25460.0,5477.840700000001,Pass
73,2018-04-18,268.0,96.220001,94.39559937,3.0,25786.960268,5804.800968,Pass
74,2018-04-19,268.0,96.440002,94.76786041,3.0,25845.920536,5863.761236000002,Pass
75,2018-04-20,268.0,95.910004,94.29788971,3.0,25703.881072,5721.721772000001,Pass
76,2018-04-23,268.0,95.739998,94.12556458,3.0,25658.319464,5676.160164000001,Pass
77,2018-04-24,268.0,96.239998,93.52965546,3.0,25792.319464,5810.160164000001,Pass
78,2018-04-25,276.0,93.300003,93.80011749,0.0,25750.800828,5768.641528,Buy
79,2018-04-26,276.0,93.550003,92.11671448,1.0,25819.800828,5837.641528,Sell
80,2018-04-27,276.0,97.599998,93.53896332,3.0,26937.599448,6955.4401480000015,Pass
81,2018-04-30,276.0,96.330002,93.67179108,3.0,26587.080552,6604.921252,Pass
82,2018-05-01,285.0,93.209999,94.88581848,0.0,26564.849715,6582.690415000001,Buy
83,2018-05-02,285.0,94.989998,93.63800812,1.0,27072.14943,7089.990130000002,Sell
84,2018-05-03,291.0,92.959999,93.49293518,0.0,27051.359709,7069.200409000001,Buy
85,2018-05-04,291.0,93.32,94.30852509,2.0,27156.12,7173.9607,Hold
86,2018-05-07,291.0,95.169998,95.97211456,2.0,27694.469418,7712.310118000001,Hold
87,2018-05-08,291.0,95.849998,95.79264069,1.0,27892.349418,7910.190118000002,Sell
88,2018-05-09,290.0,96.010002,96.95449066,0.0,27842.90058,7860.741280000002,Buy
89,2018-05-10,290.0,97.459999,97.27190399,1.0,28263.399709999998,8281.240409999999,Sell
90,2018-05-11,290.0,97.800003,97.14661407,3.0,28362.00087,8379.84157,Pass
91,2018-05-14,290.0,97.919998,97.55395508,3.0,28396.799420000003,8414.640120000004,Pass
