,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,102.0,196.100006,201.3766937,0.0,20002.2,0.0,Buy
1,2018-01-03,102.0,202.050003,204.6960297,2.0,20609.100306,606.9003059999995,Hold
2,2018-01-04,102.0,206.199997,204.3766937,1.0,21032.399694,1030.199693999999,Sell
3,2018-01-05,102.0,207.25,204.6960297,3.0,21139.5,1137.2999999999993,Pass
4,2018-01-08,102.0,210.020004,205.4098663,3.0,21422.040408,1419.840408,Pass
5,2018-01-09,102.0,212.110001,207.6910706,3.0,21635.220102,1633.0201019999986,Pass
6,2018-01-10,102.0,207.570007,207.5417633,3.0,21172.140714,1169.9407140000003,Pass
7,2018-01-11,102.0,214.289993,207.1890869,3.0,21857.579286,1855.3792859999994,Pass
8,2018-01-12,100.0,217.179993,217.6774139,0.0,21717.9993,1715.7992999999988,Buy
9,2018-01-16,100.0,224.240005,219.2453613,1.0,22424.0005,2421.8004999999976,Sell
10,2018-01-17,100.0,221.0,216.7789307,3.0,22100.0,2097.7999999999993,Pass
11,2018-01-18,100.0,220.339996,218.4714661,3.0,22033.999600000003,2031.799600000002,Pass
12,2018-01-19,100.0,222.75,218.646698,3.0,22275.0,2272.7999999999993,Pass
13,2018-01-22,100.0,222.0,225.8508606,0.0,22200.0,2197.7999999999993,Buy
14,2018-01-23,100.0,255.050003,228.4729157,1.0,25505.0003,5502.800299999999,Sell
15,2018-01-24,100.0,250.880005,243.2615356,3.0,25088.000500000002,5085.800500000001,Pass
16,2018-01-25,100.0,263.0,248.571167,3.0,26300.0,6297.799999999999,Pass
17,2018-01-26,100.0,271.48999,260.6503449,3.0,27148.998999999996,7146.798999999995,Pass
18,2018-01-29,100.0,274.200012,268.1490631,3.0,27420.001200000002,7417.801200000002,Pass
19,2018-01-30,100.0,277.0,272.8009033,3.0,27700.0,7697.799999999999,Pass
20,2018-01-31,100.0,281.940002,273.077179,3.0,28194.0002,8191.800199999998,Pass
21,2018-02-01,105.0,266.410004,275.1763916,0.0,27973.050420000003,7970.8504200000025,Buy
22,2018-02-02,105.0,263.0,268.3388977,2.0,27615.0,7612.799999999999,Hold
23,2018-02-05,105.0,262.0,270.2881317,2.0,27510.0,7507.799999999999,Hold
24,2018-02-06,105.0,247.699997,267.2394409,2.0,26008.499685,6006.299684999998,Hold
25,2018-02-07,105.0,266.579987,244.3957214,1.0,27990.898635,7988.698635000001,Sell
26,2018-02-08,105.0,267.079987,245.1112366,3.0,28043.398635,8041.198635000001,Pass
27,2018-02-09,105.0,253.850006,242.2009583,3.0,26654.250630000002,6652.050630000002,Pass
28,2018-02-12,105.0,252.139999,238.8294983,3.0,26474.699894999998,6472.499894999997,Pass
29,2018-02-13,105.0,257.290009,244.4224091,3.0,27015.450945,7013.250945,Pass
30,2018-02-14,105.0,260.470001,240.8464356,3.0,27349.350105,7347.150105000001,Pass
31,2018-02-15,105.0,270.029999,241.0032349,3.0,28353.149895,8350.949894999998,Pass
32,2018-02-16,105.0,278.730011,245.4017944,3.0,29266.651155,9264.451154999999,Pass
33,2018-02-20,105.0,277.73999,250.2844391,3.0,29162.698949999998,9160.498949999997,Pass
34,2018-02-21,105.0,282.070007,258.4237824,3.0,29617.350734999996,9615.150734999996,Pass
35,2018-02-22,105.0,283.880005,264.1243286,3.0,29807.400524999997,9805.200524999997,Pass
36,2018-02-23,105.0,281.0,256.4649658,3.0,29505.0,9502.8,Pass
37,2018-02-26,105.0,288.75,256.1009979,3.0,30318.75,10316.55,Pass
38,2018-02-27,105.0,294.769989,283.7651672,3.0,30950.848845,10948.648845,Pass
39,2018-02-28,105.0,293.100006,282.5531311,3.0,30775.500630000002,10773.300630000002,Pass
40,2018-03-01,105.0,292.75,267.2540436,3.0,30738.75,10736.55,Pass
41,2018-03-02,105.0,284.649994,274.103714,3.0,29888.249369999998,9886.049369999997,Pass
42,2018-03-05,105.0,302.850006,270.8132935,3.0,31799.250630000002,11797.050630000002,Pass
43,2018-03-06,105.0,319.880005,299.5075073,3.0,33587.400525,13585.200524999997,Pass
44,2018-03-07,105.0,320.0,294.207428,3.0,33600.0,13597.8,Pass
45,2018-03-08,105.0,322.200012,322.0881653,3.0,33831.001260000005,13828.801260000004,Pass
46,2018-03-09,105.0,321.329987,300.1611328,3.0,33739.648635000005,13737.448635000004,Pass
47,2018-03-12,105.0,333.559998,314.0696716,3.0,35023.79979,15021.599789999997,Pass
48,2018-03-13,105.0,323.869995,292.2747498,3.0,34006.349475,14004.149475000002,Pass
49,2018-03-14,105.0,318.160004,293.3833313,3.0,33406.80042,13404.600419999999,Pass
50,2018-03-15,105.0,323.170013,287.1058044,3.0,33932.851364999995,13930.651364999994,Pass
51,2018-03-16,105.0,321.420013,292.9623718,3.0,33749.101364999995,13746.901364999994,Pass
52,2018-03-19,106.0,315.799988,317.2678528,0.0,33474.798728,13472.598728,Buy
53,2018-03-20,106.0,313.26001,330.2238159,2.0,33205.56106,13203.36106,Hold
54,2018-03-21,106.0,316.350006,298.8588257,1.0,33533.100636,13530.900636000002,Sell
55,2018-03-22,107.0,313.070007,325.9381409,0.0,33498.490749,13496.290748999996,Buy
56,2018-03-23,107.0,307.410004,293.320221,1.0,32892.870428,12890.670428000001,Sell
57,2018-03-26,107.0,309.359985,295.0267029,3.0,33101.518395,13099.318394999998,Pass
58,2018-03-27,107.0,322.48999,292.81604,3.0,34506.428929999995,14504.228929999994,Pass
59,2018-03-28,107.0,298.390015,264.9462891,3.0,31927.731605,11925.531605,Pass
60,2018-03-29,107.0,287.0,260.3529968,3.0,30709.0,10706.8,Pass
61,2018-04-02,107.0,291.940002,276.6171875,3.0,31237.580213999998,11235.380213999997,Pass
62,2018-04-03,107.0,285.450012,261.5301361,3.0,30543.151284000003,10540.951284000002,Pass
63,2018-04-04,107.0,273.630005,268.013092,3.0,29278.410535,9276.210534999998,Pass
