Date,AAPL,FB,GOOGL,MSFT,NFLX
1/2/18,20078.88047,20077.83921,20007.38038,20068.2893,20002.20061
1/3/18,20358.53988,20552.44057,20404.67103,20051.97953,20609.10031
1/4/18,20359.71917,20893.69932,20844.70935,20175.46907,21032.39969
1/5/18,20465.92024,20971.66955,20965.54907,20424.78093,21139.5
1/8/18,20573.30071,21153.59966,21109,20550.5993,21422.04041
1/9/18,20596.90035,21323.09966,21250.35888,20655.45047,21635.2201
1/10/18,20432.88047,21124.22023,21033,20471.38023,21172.14071
1/11/18,20601.61953,21289.19932,21133.89112,20534.2893,21857.57929
1/12/18,20789.23917,20120.77977,21091.89954,20660.10953,22152.35929
1/16/18,20992.19929,20509.5,21665.89112,20993.29953,22872.48051
1/17/18,20785.69929,20256.37944,21590.83972,20755.64047,22542
1/18/18,21165.65941,20128.69057,21647.64954,20923.4007,22474.67959
1/19/18,21075.98012,20436.05068,21622.57055,21002.61977,22720.5
1/22/18,20921.40035,20430.40034,21732.57897,20970,22644
1/23/18,20921.40035,21023.65034,22241.77991,21412.70047,26015.10031
1/24/18,20915.5,21457.56989,22514.61962,21564.1507,25589.76051
1/25/18,20592.17941,21238.34966,22433.48926,21545.51023,26826
1/26/18,20296,21215.75,22563.07055,21696.9607,27691.97898
1/29/18,20078.88047,21328.75,22572,22167.61977,27968.40122
1/30/18,19532.53988,21201.05944,22376.67945,21738.9007,28254
1/31/18,19690.65941,21285.80944,22492.39112,21843.75,28757.8802
2/1/18,19726.05976,21268.86011,22343.80981,22086.07023,27173.82041
2/2/18,19588,21700.51921,21420.98084,21818.11977,26826
2/5/18,18773.80071,21123.08921,20911.58972,21100.47953,26724
2/6/18,18269.94024,20178.41079,19645.61962,20245.36977,25265.39969
2/7/18,19244.61953,20808.94932,20614.42945,21084.16953,27191.15867
2/8/18,18914.21917,20454.12944,20137.52991,20902.42977,27242.15867
2/9/18,18534.26083,19747.87944,19491.7201,20107.9007,25892.70061
2/12/18,18703,20007.77977,20076.73084,20676.41953,25718.2799
