,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,112.0,177.679993,178.6564441,0.0,19900.15922,0.0,Buy
1,2018-01-03,112.0,181.880005,178.4602262,1.0,20370.56056,470.40134000000035,Sell
2,2018-01-04,112.0,184.899994,180.5601965,3.0,20708.799328,808.6401079999996,Pass
3,2018-01-05,112.0,185.589996,180.6907085,3.0,20786.079552000003,885.9203320000015,Pass
4,2018-01-08,112.0,187.199997,180.4520814,3.0,20966.399664,1066.2404439999991,Pass
5,2018-01-09,112.0,188.699997,181.6203577,3.0,21134.399664,1234.2404439999991,Pass
6,2018-01-10,112.0,186.940002,181.4413436,3.0,20937.280224,1037.121003999997,Pass
7,2018-01-11,112.0,188.399994,182.2109923,3.0,21100.799328,1200.6401079999996,Pass
8,2018-01-12,118.0,178.059998,181.1801915,0.0,21011.079764000002,1110.9205440000005,Buy
9,2018-01-16,118.0,181.5,180.7771427,1.0,21417.0,1516.8407799999986,Sell
10,2018-01-17,119.0,179.259995,180.1588123,0.0,21331.939405,1431.7801849999996,Buy
11,2018-01-18,119.0,178.130005,179.9056105,2.0,21197.470595000003,1297.3113750000011,Hold
12,2018-01-19,119.0,180.850006,180.2913765,1.0,21521.150714,1620.991493999998,Sell
13,2018-01-22,119.0,180.800003,179.8456399,3.0,21515.200357,1615.0411370000002,Pass
14,2018-01-23,119.0,186.050003,180.1753926,3.0,22139.950357,2239.791137,Pass
15,2018-01-24,119.0,189.889999,180.7647664,3.0,22596.909881,2696.750660999998,Pass
16,2018-01-25,119.0,187.949997,182.2861862,3.0,22366.049643,2465.890422999997,Pass
17,2018-01-26,119.0,187.75,181.3925846,3.0,22342.25,2442.0907799999986,Pass
18,2018-01-29,119.0,188.75,182.7441989,3.0,22461.25,2561.0907799999986,Pass
19,2018-01-30,119.0,187.619995,183.0459689,3.0,22326.779404999997,2426.620184999996,Pass
20,2018-01-31,119.0,188.369995,183.3697549,3.0,22416.029404999997,2515.870184999996,Pass
21,2018-02-01,119.0,188.220001,184.0153409,3.0,22398.180119,2498.020898999999,Pass
22,2018-02-02,119.0,192.039993,183.2595977,3.0,22852.759167,2952.599946999999,Pass
23,2018-02-05,119.0,186.929993,183.3920418,3.0,22244.669167,2344.5099469999986,Pass
24,2018-02-06,124.0,178.570007,183.1584946,0.0,22142.680868,2242.521647999998,Buy
25,2018-02-07,124.0,184.149994,183.410716,1.0,22834.599255999998,2934.4400359999963,Sell
26,2018-02-08,126.0,181.009995,183.5431311,0.0,22807.25937,2907.1001499999984,Buy
27,2018-02-09,126.0,174.759995,181.4548157,2.0,22019.75937,2119.6001499999984,Hold
28,2018-02-12,126.0,177.059998,181.3510987,2.0,22309.559748,2409.4005279999983,Hold
29,2018-02-13,126.0,175.619995,181.4067574,2.0,22128.11937,2227.960149999999,Hold
30,2018-02-14,126.0,173.449997,180.6536216,2.0,21854.699622,1954.5404019999987,Hold
31,2018-02-15,126.0,180.5,180.8281622,2.0,22743.0,2842.8407799999986,Hold
32,2018-02-16,126.0,178.990005,180.4111376,2.0,22552.74063,2652.581409999999,Hold
33,2018-02-20,126.0,175.770004,180.8595014,2.0,22147.020504,2246.8612839999987,Hold
34,2018-02-21,126.0,176.710007,180.8438356,2.0,22265.460882,2365.301661999998,Hold
35,2018-02-22,126.0,178.699997,179.9927457,2.0,22516.199622,2616.0404019999987,Hold
36,2018-02-23,126.0,179.899994,179.5099184,1.0,22667.399244,2767.240023999999,Sell
37,2018-02-26,126.0,184.580002,179.2620523,3.0,23257.080252,3356.9210319999984,Pass
38,2018-02-27,126.0,184.449997,180.02877,3.0,23240.699622,3340.5404019999987,Pass
39,2018-02-28,126.0,182.300003,181.2595529,3.0,22969.800378,3069.6411579999985,Pass
40,2018-03-01,128.0,179.009995,180.245623,0.0,22913.27936,3013.120139999999,Buy
41,2018-03-02,128.0,173.289993,182.0408265,2.0,22181.119104,2280.959884,Hold
42,2018-03-05,128.0,176.199997,181.6300478,2.0,22553.599616,2653.440395999998,Hold
43,2018-03-06,128.0,181.779999,182.2737596,2.0,23267.839872,3367.680651999999,Hold
44,2018-03-07,128.0,178.740005,182.2345733,2.0,22878.72064,2978.561419999998,Hold
45,2018-03-08,128.0,183.559998,182.630289,1.0,23495.679744,3595.5205239999996,Sell
46,2018-03-09,128.0,183.910004,183.7162089,3.0,23540.480512,3640.321291999997,Pass
47,2018-03-12,128.0,185.229996,183.9492486,3.0,23709.439488,3809.2802679999986,Pass
48,2018-03-13,128.0,185.610001,184.8345145,3.0,23758.080128,3857.920908,Pass
49,2018-03-14,130.0,182.600006,184.439075,0.0,23738.000780000002,3837.8415600000008,Buy
50,2018-03-15,130.0,183.240005,183.7647458,2.0,23821.20065,3921.0414299999975,Hold
51,2018-03-16,130.0,184.490005,183.2786114,1.0,23983.70065,4083.5414299999975,Sell
52,2018-03-19,135.0,177.009995,181.9177228,0.0,23896.349325,3996.190104999998,Buy
53,2018-03-20,135.0,167.470001,180.0708383,2.0,22608.450135,2708.2909149999978,Hold
54,2018-03-21,135.0,164.800003,178.5296521,2.0,22248.000405,2347.8411849999975,Hold
55,2018-03-22,135.0,166.130005,177.4989172,2.0,22427.550675000002,2527.391455000001,Hold
56,2018-03-23,135.0,165.440002,175.190469,2.0,22334.40027,2434.241049999997,Hold
57,2018-03-26,135.0,160.820007,172.918628,2.0,21710.700945,1810.5417249999991,Hold
58,2018-03-27,135.0,156.309998,170.9036194,2.0,21101.84973,1201.6905100000004,Hold
59,2018-03-28,135.0,151.649994,169.6912952,2.0,20472.74919,572.5899699999973,Hold
60,2018-03-29,135.0,155.149994,168.5794349,2.0,20945.24919,1045.0899699999973,Hold
61,2018-04-02,135.0,157.809998,168.7112728,2.0,21304.34973,1404.1905100000004,Hold
62,2018-04-03,135.0,156.550003,167.6508553,2.0,21134.250405,1234.0911849999975,Hold
63,2018-04-04,135.0,152.029999,166.39259,2.0,20524.049865,623.8906449999995,Hold
64,2018-04-05,135.0,161.559998,166.3568762,2.0,21810.59973,1910.4405100000004,Hold
65,2018-04-06,135.0,157.729996,166.6933594,2.0,21293.54946,1393.390239999997,Hold
66,2018-04-09,135.0,157.820007,167.1830142,2.0,21305.700945,1405.5417249999991,Hold
67,2018-04-10,135.0,157.929993,166.8244604,2.0,21320.549055,1420.3898349999981,Hold
68,2018-04-11,135.0,165.360001,167.2744351,2.0,22323.600135,2423.440914999999,Hold
69,2018-04-12,135.0,166.979996,167.8118034,2.0,22542.29946,2642.140239999997,Hold
70,2018-04-13,135.0,164.580002,169.6972969,2.0,22218.30027,2318.1410499999984,Hold
71,2018-04-16,135.0,165.720001,170.0277029,2.0,22372.200135,2472.0409149999978,Hold
72,2018-04-17,135.0,165.830002,171.7836796,2.0,22387.05027,2486.8910499999984,Hold
73,2018-04-18,135.0,166.880005,172.4904572,2.0,22528.800675000002,2628.641455000001,Hold
74,2018-04-19,135.0,166.199997,172.5295314,2.0,22436.999595,2536.8403749999998,Hold
75,2018-04-20,135.0,167.789993,173.4142566,2.0,22651.649055,2751.4898350000003,Hold
76,2018-04-23,135.0,167.270004,172.8026571,2.0,22581.45054,2681.2913200000003,Hold
77,2018-04-24,135.0,165.429993,173.2895199,2.0,22333.049055,2432.889834999998,Hold
78,2018-04-25,135.0,160.139999,170.7521423,2.0,21618.899865,1718.740644999998,Hold
79,2018-04-26,135.0,173.220001,169.8521108,1.0,23384.700135,3484.5409149999978,Sell
80,2018-04-27,135.0,176.809998,169.3381012,3.0,23869.34973,3969.1905100000004,Pass
81,2018-04-30,135.0,173.789993,169.500493,3.0,23461.649055,3561.4898350000003,Pass
82,2018-05-01,135.0,172.0,166.5391001,3.0,23220.0,3319.8407799999986,Pass
83,2018-05-02,135.0,174.25,166.1755047,3.0,23523.75,3623.5907799999986,Pass
84,2018-05-03,135.0,175.130005,166.7256958,3.0,23642.550675000002,3742.391455000001,Pass
85,2018-05-04,135.0,173.080002,165.5975696,3.0,23365.80027,3465.6410499999984,Pass
86,2018-05-07,135.0,177.350006,165.7155058,3.0,23942.25081,4042.09159,Pass
87,2018-05-08,135.0,178.25,166.3954238,3.0,24063.75,4163.590779999999,Pass
88,2018-05-09,135.0,179.669998,167.2180306,3.0,24255.44973,4355.290509999999,Pass
89,2018-05-10,135.0,183.149994,168.6228542,3.0,24725.24919,4825.089969999997,Pass
90,2018-05-11,135.0,184.850006,170.5427022,3.0,24954.75081,5054.59159,Pass
91,2018-05-14,135.0,187.710007,172.1036051,3.0,25340.850945,5440.691724999997,Pass
92,2018-05-15,135.0,184.880005,172.5407312,3.0,24958.800675000002,5058.641455000001,Pass
93,2018-05-16,135.0,183.699997,172.6142525,3.0,24799.499595,4899.340375,Pass
94,2018-05-17,135.0,182.679993,173.6171649,3.0,24661.799055,4761.639834999998,Pass
95,2018-05-18,135.0,183.490005,175.2762399,3.0,24771.150675,4870.991454999999,Pass
