Date,AAPL,FB,GOOGL,MSFT,NFLX
1/2/18,19908.72047,19900.15922,20007.38038,19982.1593,20002.2
1/3/18,20186.00988,20370.56056,20404.67103,19965.91954,20609.10031
1/4/18,20187.17918,20708.79933,20844.70935,20088.87907,21032.39969
1/5/18,20292.48023,20786.07955,20965.54907,20337.12093,21139.5
1/8/18,20398.9507,20966.39966,21109,20462.3993,21422.04041
1/9/18,20422.35035,21134.39966,21250.35888,20566.80046,21635.2201
1/10/18,20259.72047,20937.28022,21033,20383.52023,21172.14071
1/11/18,20427.02953,21100.79933,21133.89112,20446.1593,21857.57929
1/12/18,20613.05918,21011.07976,21091.89954,20571.43954,22152.35929
1/16/18,20814.2993,21417,21665.89112,20903.19954,22872.48051
1/17/18,20609.5493,21331.93941,21590.83972,20666.56046,22542
1/18/18,20986.28942,21197.4706,21647.64954,20833.6007,22474.67959
1/19/18,20897.37012,21521.15071,21622.57055,20912.47977,22720.5
1/22/18,20744.10035,21515.20036,21732.57897,20880,22644
1/23/18,20744.10035,22139.95036,22241.77991,21320.80046,26015.10031
1/24/18,20738.25,22596.90988,22514.61962,21471.6007,25589.76051
1/25/18,20417.66942,22366.04964,22433.48926,21453.04023,26826
1/26/18,20296,22342.25,22563.07055,21603.8407,27691.97898
1/29/18,20078.88047,22461.25,22572,22072.47977,27968.40122
1/30/18,19532.53988,22326.7794,22376.67945,21645.6007,28254
1/31/18,19690.65941,22416.0294,22492.39112,21750,28757.8802
2/1/18,19726.05976,22398.18012,22343.80981,21991.28023,27173.82041
2/2/18,19588,22852.75917,21420.98084,21724.47977,26826
2/5/18,18773.80071,22244.66917,20911.58972,21009.91954,26724
2/6/18,18269.94024,22142.68087,19645.61962,20940.48976,25265.39969
2/7/18,19244.61953,22834.59926,20614.42945,21808.08952,27191.15867
2/8/18,18914.21917,22807.25937,20137.52991,21620.10976,27242.15867
2/9/18,18534.26083,22019.75937,19491.7201,21575.00075,25892.70061
2/12/18,18703,22309.55975,20076.73084,22184.9995,25718.2799
2/13/18,19110.09965,22128.11937,19950,22232.5,26243.58092
2/14/18,19238.71917,21854.69962,20032.07897,22127.5005,26567.9401
