,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,1/2/18,112,177.68,179.12,0,19900.16,0,Buy
1,1/3/18,112,181.88,179.54,1,20370.56,470.40,Sell
2,1/4/18,112,184.90,179.92,3,20708.80,808.64,Pass
3,1/5/18,112,185.59,180.47,3,20786.08,885.92,Pass
4,1/8/18,112,187.20,181.87,3,20966.40,1066.24,Pass
5,1/9/18,112,188.70,182.29,3,21134.40,1234.24,Pass
6,1/10/18,112,186.94,182.70,3,20937.28,1037.12,Pass
7,1/11/18,112,188.40,183.13,3,21100.80,1200.64,Pass
8,1/12/18,118,178.06,183.15,0,21011.08,1110.92,Buy
9,1/16/18,118,181.50,183.03,2,21417.00,1516.84,Hold
10,1/17/18,118,179.26,182.94,2,21152.68,1252.52,Hold
11,1/18/18,118,178.13,182.95,2,21019.34,1119.18,Hold
12,1/19/18,118,180.85,178.72,1,21340.30,1440.14,Sell
13,1/22/18,118,180.80,183.68,0,21334.40,1434.24,Buy
14,1/23/18,118,186.05,184.17,1,21953.90,2053.74,Sell
15,1/24/18,118,189.89,184.48,3,22407.02,2506.86,Pass
16,1/25/18,118,187.95,184.83,3,22178.10,2277.94,Pass
17,1/26/18,118,187.75,185.28,3,22154.50,2254.34,Pass
18,1/29/18,118,188.75,186.13,3,22272.50,2372.34,Pass
19,1/30/18,118,187.62,186.35,3,22139.16,2239.00,Pass
20,1/31/18,118,188.37,186.55,3,22227.66,2327.50,Pass
21,2/1/18,118,188.22,187.06,3,22209.96,2309.80,Pass
22,2/2/18,118,192.04,183.09,3,22660.72,2760.56,Pass
23,2/5/18,121,186.93,187.14,0,22618.53,2718.37,Buy
24,2/6/18,121,178.57,187.04,2,21606.97,1706.81,Hold
25,2/7/18,121,184.15,186.79,2,22282.15,2381.99,Hold
26,2/8/18,121,181.01,186.53,2,21902.21,2002.05,Hold
27,2/9/18,121,174.76,186.22,2,21145.96,1245.80,Hold
28,2/12/18,121,177.06,185.81,2,21424.26,1524.10,Hold
29,2/13/18,121,175.62,180.16,2,21250.02,1349.86,Hold
30,2/14/18,121,173.45,180.20,2,20987.45,1087.29,Hold
31,2/15/18,121,180.50,185.79,2,21840.50,1940.34,Hold
32,2/16/18,121,178.99,185.79,2,21657.79,1757.63,Hold
33,2/20/18,121,175.77,185.28,2,21268.17,1368.01,Hold
34,2/21/18,121,176.710007,185.04,2,21381.91085,1481.75,Hold
35,2/22/18,121,178.699997,184.6255,2,21622.69964,1722.54,Hold
36,2/23/18,121,179.899994,184.485,2,21767.89927,1867.740054,Hold
37,2/26/18,121,184.580002,178.4925,1,22334.18024,2434.021022,Sell
38,2/27/18,121,184.449997,183.581,3,22318.44964,2418.290417,Pass
39,2/28/18,122,182.300003,183.292,0,22240.60037,2340.441146,Buy
40,3/1/18,122,179.009995,182.882,2,21839.21939,1939.06017,Hold
41,3/2/18,122,173.289993,182.4835,2,21141.37915,1241.219926,Hold
42,3/5/18,122,176.199997,177.146,2,21496.39963,1596.240414,Hold
43,3/6/18,122,181.779999,180.418,1,22177.15988,2277.000658,Sell
44,3/7/18,122,178.740005,177.1045,3,21806.28061,1906.12139,Pass
45,3/8/18,122,183.559998,180.37,3,22394.31976,2494.160536,Pass
46,3/9/18,122,183.910004,180.6385,3,22437.02049,2536.861268,Pass
47,3/12/18,122,185.229996,181.688,3,22598.05951,2697.900292,Pass
48,3/13/18,122,185.610001,181.8485,3,22644.42012,2744.260902,Pass
49,3/14/18,122,182.600006,182.1105,3,22277.20073,2377.041512,Pass
