,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,19.0,1053.02002,1067.652,0.0,20007.38038,0.0,Buy
1,2018-01-03,19.0,1073.930054,1069.5505,1.0,20404.671026,397.2906460000013,Sell
2,2018-01-04,19.0,1097.089966,1071.605,3.0,20844.709354,837.328974,Pass
3,2018-01-05,19.0,1103.449951,1074.711,3.0,20965.549069,958.1686890000019,Pass
4,2018-01-08,19.0,1111.0,1083.163,3.0,21109.0,1101.6196200000013,Pass
5,2018-01-09,19.0,1118.439941,1085.619,3.0,21250.358879000003,1242.9784990000044,Pass
6,2018-01-10,19.0,1107.0,1087.7815,3.0,21033.0,1025.6196200000013,Pass
7,2018-01-11,19.0,1112.310059,1089.989,3.0,21133.891120999997,1126.5107409999982,Pass
8,2018-01-12,19.0,1110.099976,1093.2755,3.0,21091.899544,1084.5191640000012,Pass
9,2018-01-16,19.0,1140.310059,1103.5345,3.0,21665.891120999997,1658.5107409999982,Pass
10,2018-01-17,19.0,1136.359985,1106.047,3.0,21590.839715000002,1583.4593350000032,Pass
11,2018-01-18,19.0,1139.349976,1108.426,3.0,21647.649544,1640.2691640000012,Pass
12,2018-01-19,19.0,1138.030029,1080.9275,3.0,21622.570551,1615.190171000002,Pass
13,2018-01-22,19.0,1143.819946,1121.9335,3.0,21732.578974,1725.1985940000013,Pass
14,2018-01-23,19.0,1170.619995,1126.37,3.0,22241.779905,2234.3995250000007,Pass
15,2018-01-24,19.0,1184.97998,1130.293,3.0,22514.61962,2507.2392400000026,Pass
16,2018-01-25,19.0,1180.709961,1134.7115,3.0,22433.489259,2426.108879000003,Pass
17,2018-01-26,19.0,1187.530029,1139.295,3.0,22563.070551,2555.690171000002,Pass
18,2018-01-29,19.0,1188.0,1151.4185,3.0,22572.0,2564.6196200000013,Pass
19,2018-01-30,19.0,1177.719971,1154.4,3.0,22376.679449,2369.2990690000006,Pass
20,2018-01-31,19.0,1183.810059,1157.4045,3.0,22492.391120999997,2485.0107409999982,Pass
21,2018-02-01,19.0,1175.98999,1160.1325,3.0,22343.80981,2336.42943,Pass
22,2018-02-02,19.0,1127.420044,1130.3305,0.0,21420.980836,1413.6004560000001,Buy
23,2018-02-05,19.0,1100.609985,1160.1265,2.0,20911.589715000002,904.2093350000032,Hold
24,2018-02-06,19.0,1033.97998,1159.7915,2.0,19645.61962,-361.7607599999974,Hold
25,2018-02-07,19.0,1084.969971,1159.3645,2.0,20614.429449,607.0490690000006,Hold
26,2018-02-08,19.0,1059.869995,1159.2235,2.0,20137.529905,130.14952500000072,Hold
27,2018-02-09,19.0,1025.880005,1158.4425,2.0,19491.720095,-515.6602849999981,Hold
28,2018-02-12,19.0,1056.670044,1154.2695,2.0,20076.730836,69.35045600000012,Hold
29,2018-02-13,19.0,1050.0,1096.625,2.0,19950.0,-57.380379999998695,Hold
30,2018-02-14,19.0,1054.319946,1094.3025,2.0,20032.078974,24.69859400000132,Hold
31,2018-02-15,19.0,1083.449951,1149.7955,2.0,20585.549069,578.1686890000019,Hold
32,2018-02-16,19.0,1093.380005,1148.3855,2.0,20774.220095,766.8397150000019,Hold
33,2018-02-20,19.0,1092.76001,1141.7995,2.0,20762.44019,755.0598100000025,Hold
34,2018-02-21,19.0,1109.099976,1139.713,2.0,21072.899544,1065.5191640000012,Hold
35,2018-02-22,19.0,1119.170044,1136.833,2.0,21264.230836,1256.8504560000001,Hold
36,2018-02-23,19.0,1118.660034,1134.8275,2.0,21254.540646,1247.1602660000026,Hold
37,2018-02-26,19.0,1131.859985,1079.9395,1.0,21505.339715000002,1497.9593350000032,Sell
38,2018-02-27,19.0,1143.699951,1123.8,3.0,21730.299069,1722.918689000002,Pass
39,2018-02-28,19.0,1122.0,1119.565,3.0,21318.0,1310.6196200000013,Pass
40,2018-03-01,19.0,1109.540039,1114.796,0.0,21081.260741,1073.8803609999995,Buy
41,2018-03-02,19.0,1057.97998,1109.742,2.0,20101.61962,94.23924000000261,Hold
42,2018-03-05,19.0,1078.130005,1072.041,1.0,20484.470095,477.0897150000019,Sell
43,2018-03-06,18.0,1102.099976,1103.7615,0.0,19837.799568,-169.58081200000015,Buy
44,2018-03-07,18.0,1092.819946,1074.4245,1.0,19670.759028,-336.6213519999983,Sell
45,2018-03-08,18.0,1117.199951,1107.4025,3.0,20109.599118000002,102.21873800000321,Pass
46,2018-03-09,18.0,1139.5,1111.7455,3.0,20511.0,503.6196200000013,Pass
47,2018-03-12,18.0,1165.050049,1124.008,3.0,20970.900881999998,963.5205019999994,Pass
48,2018-03-13,18.0,1171.829956,1126.2885,3.0,21092.939208,1085.558828000001,Pass
49,2018-03-14,18.0,1145.800049,1128.854,3.0,20624.400881999998,617.0205019999994,Pass
50,2018-03-15,18.0,1149.569946,1131.3035,3.0,20692.259028,684.8786480000017,Pass
51,2018-03-16,18.0,1155.349976,1105.8525,3.0,20796.299568,788.9191879999998,Pass
52,2018-03-19,18.0,1117.76001,1133.9865,0.0,20119.68018,112.29980000000069,Buy
53,2018-03-20,18.0,1098.400024,1133.919,2.0,19771.200432,-236.17994799999724,Hold
54,2018-03-21,18.0,1092.569946,1107.4525,2.0,19666.259028,-341.1213519999983,Hold
55,2018-03-22,18.0,1080.01001,1133.4035,2.0,19440.18018,-567.2001999999993,Hold
56,2018-03-23,18.0,1051.369995,1132.7765,2.0,18924.659910000002,-1082.7204699999966,Hold
57,2018-03-26,18.0,1050.599976,1127.9555,2.0,18910.799568,-1096.5808120000002,Hold
58,2018-03-27,18.0,1063.900024,1125.3895,2.0,19150.200432,-857.1799479999972,Hold
59,2018-03-28,18.0,1001.909973,1122.215,2.0,18034.379514,-1973.0008659999985,Hold
60,2018-03-29,18.0,1011.210022,1120.1425,2.0,18201.780396,-1805.5999840000004,Hold
61,2018-04-02,18.0,1027.619995,1114.7675,2.0,18497.159910000002,-1510.2204699999966,Hold
62,2018-04-03,18.0,1016.150024,1113.0735,2.0,18290.700432,-1716.6799479999972,Hold
63,2018-04-04,18.0,998.22998,1111.3485,2.0,17968.139639999998,-2039.240740000001,Hold
64,2018-04-05,18.0,1046.390015,1109.3915,2.0,18835.02027,-1172.3601099999978,Hold
