,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,232.0,86.129997,85.029,0.0,19982.1593,0.0,Buy
1,2018-01-03,232.0,86.059998,85.0995,1.0,19965.919535999998,-16.239764000001742,Sell
2,2018-01-04,232.0,86.589996,85.1945,3.0,20088.879072,106.71977200000038,Pass
3,2018-01-05,232.0,87.660004,85.3665,3.0,20337.120928,354.9616280000009,Pass
4,2018-01-08,232.0,88.199997,85.8225,3.0,20462.399304,480.2400039999993,Pass
5,2018-01-09,232.0,88.650002,85.9555,3.0,20566.800464,584.6411640000006,Pass
6,2018-01-10,232.0,87.860001,86.052,3.0,20383.520232,401.3609319999996,Pass
7,2018-01-11,232.0,88.129997,86.154,3.0,20446.159304,464.00000400000135,Pass
8,2018-01-12,232.0,88.669998,86.3575,3.0,20571.439536,589.2802360000023,Pass
9,2018-01-16,232.0,90.099998,86.7975,3.0,20903.199536,921.0402360000007,Pass
10,2018-01-17,232.0,89.080002,86.979,3.0,20666.560464,684.401163999999,Pass
11,2018-01-18,232.0,89.800003,87.1615,3.0,20833.600696,851.441396000002,Pass
12,2018-01-19,232.0,90.139999,85.67,3.0,20912.479768,930.3204680000017,Pass
13,2018-01-22,232.0,90.0,88.005,3.0,20880.0,897.8407000000007,Pass
14,2018-01-23,232.0,91.900002,88.2585,3.0,21320.800464,1338.6411640000006,Pass
15,2018-01-24,232.0,92.550003,88.4945,3.0,21471.600696,1489.441396000002,Pass
16,2018-01-25,232.0,92.470001,88.751,3.0,21453.040232,1470.880932,Pass
17,2018-01-26,232.0,93.120003,89.108,3.0,21603.840696,1621.681396,Pass
18,2018-01-29,232.0,95.139999,90.042,3.0,22072.479768,2090.3204680000017,Pass
19,2018-01-30,232.0,93.300003,90.2495,3.0,21645.600696,1663.441396000002,Pass
20,2018-01-31,232.0,93.75,90.579,3.0,21750.0,1767.8407000000007,Pass
21,2018-02-01,232.0,94.790001,90.843,3.0,21991.280232,2009.1209320000016,Pass
22,2018-02-02,232.0,93.639999,88.628,3.0,21724.479768,1742.3204680000017,Pass
