Date,compound,neg,neu,pos
2018-01-02,-0.9401,0.119,0.778,0.103
2018-01-03,-0.975,0.183,0.791,0.027
2018-01-04,-0.9753,0.224,0.776,0
2018-01-05,-0.926,0.133,0.844,0.023
2018-01-06,-0.8906,0.093,0.83,0.077
2018-01-07,0.8852,0.085,0.817,0.098
2018-01-08,-0.8625,0.181,0.753,0.066
2018-01-09,0.8442,0.055,0.83,0.114
2018-01-10,-0.0258,0.041,0.918,0.04
2018-01-11,-0.7184,0.126,0.776,0.099
2018-01-12,0.3094,0.026,0.933,0.041
2018-01-13,-0.9967,0.145,0.794,0.061
2018-01-14,0.3527,0.077,0.841,0.082
2018-01-15,-0.966,0.117,0.781,0.102
2018-01-16,-0.8779,0.209,0.666,0.125
2018-01-17,-0.3527,0.11,0.783,0.107
2018-01-18,0.8689,0.076,0.788,0.136
2018-01-19,0.9045,0.065,0.777,0.158
2018-01-20,-0.9677,0.189,0.774,0.037
2018-01-21,-0.9956,0.163,0.738,0.099
2018-01-22,0.3694,0.122,0.741,0.137
2018-01-23,-0.5267,0.123,0.777,0.099
2018-01-24,0.5267,0.097,0.798,0.105
2018-01-25,-0.6124,0.111,0.833,0.056
2018-01-26,-0.9136,0.175,0.771,0.054
2018-01-27,-0.9824,0.135,0.765,0.1
2018-01-28,0.9675,0.068,0.844,0.088
2018-01-29,-0.8611,0.094,0.893,0.013
2018-01-30,-0.9001,0.116,0.843,0.041
2018-01-31,-0.7757,0.091,0.838,0.071
2018-02-01,-0.2023,0.059,0.88,0.06
2018-02-02,0.7717,0.044,0.867,0.09
2018-02-03,0.1655,0.094,0.807,0.099
2018-02-04,0.2824,0.115,0.775,0.11
2018-02-05,-0.8591,0.123,0.877,0
2018-02-06,-0.891,0.154,0.802,0.043
2018-02-07,-0.885,0.188,0.712,0.1
2018-02-08,-0.7882,0.121,0.81,0.069
2018-02-09,-0.8481,0.185,0.696,0.119
2018-02-10,-0.9864,0.266,0.67,0.064
2018-02-11,0.2716,0.076,0.834,0.09
2018-02-12,-0.9902,0.133,0.753,0.114
2018-02-13,-0.9578,0.278,0.583,0.139
2018-02-14,-0.9585,0.208,0.765,0.027
2018-02-15,-0.9821,0.204,0.743,0.053
2018-02-16,-0.9643,0.156,0.829,0.015
2018-02-17,-0.9993,0.204,0.707,0.089
